"id","лемма","часть_речи","ipm","R","D","текстов","также_собственное"
17651,"лево","s",0.8,35,76,50,""
17652,"левобережный","a",1.8,48,81,83,""
17653,"левобережье","s",1.2,37,79,60,""
17654,"левопатриотический","a",0.4,19,75,29,""
17655,"леворадикальный","a",0.4,22,78,29,""
17656,"левосторонний","a",0.7,40,84,53,""
17657,"левоцентристский","a",0.4,21,76,30,""
17658,"левша","s",3.1,64,76,112,""
17659,"левый","a",117.2,100,96,2876,""
17660,"левый","s",0.6,29,79,47,""
17661,"легавый","s",0.6,30,74,35,""
17662,"легализация","s",3.7,68,84,224,""
17663,"легализовать","v",2.3,64,88,174,""
17664,"легализоваться","v",0.6,35,82,50,""
17665,"легально","adv",2.3,64,88,179,""
17666,"легальность","s",0.4,29,80,31,""
17667,"легальный","a",7.3,90,90,474,""
17668,"легат","s",0.4,14,64,16,"*"
17669,"легенда","s",36.3,100,95,1413,""
17670,"легендарный","a",16.9,100,92,953,""
17671,"легион","s",8.4,83,68,258,""
17672,"легионер","s",3.9,67,75,134,""
17673,"легирование","s",0.5,14,69,29,""
17674,"легированный","a",0.9,28,68,41,""
17675,"легировать","v",0.7,19,69,36,""
17676,"легитимация","s",0.8,28,74,40,""
17677,"легитимизация","s",0.5,24,78,34,""
17678,"легитимность","s",2.3,54,87,154,""
17679,"легитимный","a",2.7,61,87,185,""
17680,"легкий","a",202.1,100,97,5500,""
17681,"легко","adv",157.9,100,98,5189,""
17682,"легкоатлет","s",0.6,29,77,38,""
17683,"легкоатлетический","a",0.6,29,79,42,""
17684,"легковерный","a",0.7,45,87,55,""
17685,"легковесный","a",1.4,62,89,113,""
17686,"легковой","a",7.5,91,92,425,""
17687,"легковоспламеняющийся","a",0.5,16,52,22,""
17688,"легковушка","s",1.6,64,87,114,""
17689,"легкодоступный","a",0.5,31,83,39,""
17690,"легкое","s",19.6,99,93,894,""
17691,"легкомысленно","adv",3.1,83,90,208,""
17692,"легкомысленный","a",8.6,97,94,475,""
17693,"легкомыслие","s",4.2,86,91,246,""
17694,"легкосплавный","a",0.5,21,75,34,""
17695,"легкость","s",21.2,99,96,1170,""
17696,"лего","s",0.5,24,78,29,""
17697,"легонький","a",1.3,45,84,87,""
17698,"легонько","adv",5.6,70,89,296,""
17699,"легочный","a",2,52,64,81,""
17700,"легчайший","a",1.1,51,87,81,""
17701,"легчать","v",0.4,23,77,30,""
17702,"лед","s",62.5,100,91,1477,""
17703,"леденеть","v",0.6,37,83,52,""
17704,"леденец","s",2.5,67,87,152,""
17705,"леденить","v",1.4,65,90,113,""
17706,"леденящий","a",1.3,62,88,103,""
17707,"леди","s",10.3,93,91,380,""
17708,"ледник","s",4.8,80,82,179,""
17709,"ледниковый","a",1.7,61,87,96,""
17710,"ледовитый","a",2.1,64,86,113,""
17711,"ледовый","a",5.8,82,86,220,""
17712,"ледок","s",1.4,49,85,92,""
17713,"ледокол","s",3.4,68,68,106,""
17714,"ледокольный","a",0.4,18,74,19,""
17715,"ледоруб","s",0.8,31,75,40,""
17716,"ледоход","s",1.1,52,86,69,""
17717,"ледышка","s",0.6,30,77,42,""
17718,"ледяной","a",30.3,100,93,1015,""
17719,"леер","s",0.5,14,68,14,""
17720,"лежа","adv",0.9,50,87,73,""
17721,"лежак","s",1.1,44,82,56,""
17722,"лежалый","a",0.8,45,85,62,""
17723,"лежание","s",1.2,60,89,86,""
17724,"лежанка","s",2,58,85,120,""
17725,"лежать","v",318.1,100,94,5232,""
17726,"лежачий","a",3.8,85,89,219,""
17727,"лежбище","s",1,32,69,43,""
17728,"лежка","s",0.8,43,86,58,""
17729,"лезвие","s",11.3,92,91,474,""
17730,"лезгинка","s",0.7,44,86,52,""
17731,"лезть","v",50,99,93,1577,""
17732,"лей","s",0.7,37,83,47,"*"
17733,"лейб-гвардия","s",1.1,39,79,45,""
17734,"лейбл","s",1.6,53,86,110,""
17735,"лейборист","s",0.7,27,75,37,""
17736,"лейбористский","a",0.5,23,76,29,""
17737,"лейденский","a",0.5,14,30,14,""
17738,"лейка","s",1.3,53,87,87,""
17739,"лейкоз","s",1.6,22,60,41,""
17740,"лейкопластырь","s",0.5,28,77,34,""
17741,"лейкоцит","s",3.7,33,57,65,""
17742,"лейкоцитарный","a",0.4,8,54,19,""
17743,"лейпцигский","a",0.6,26,75,33,""
17744,"лейтенант","s",71.9,92,84,760,""
17745,"лейтенантик","s",0.5,28,81,33,""
17746,"лейтенантский","a",0.9,42,83,56,""
17747,"лейтмотив","s",2.4,58,87,175,""
17748,"лекало","s",1.5,44,60,62,""
17749,"лекарственный","a",15.8,88,60,425,""
17750,"лекарство","s",39.6,100,95,1482,""
17751,"лекарь","s",3.5,79,84,153,""
17752,"лексема","s",3.5,14,50,24,""
17753,"лексика","s",5.4,91,91,329,""
17754,"лексикон","s",3.6,89,91,241,""
17755,"лексический","a",2.8,51,72,94,""
17756,"лектор","s",3.9,88,92,217,""
17757,"лекционный","a",1,50,85,74,""
17758,"лекция","s",39.2,100,94,1291,""
17759,"лелеять","v",4.5,93,93,318,""
17760,"лемех","s",0.6,28,79,32,""
17761,"лемма","s",1,12,57,15,""
17762,"лен","s",11.5,94,65,257,""
17763,"ленд-лиз","s",0.5,20,71,24,""
17764,"лендровер","s",0.8,17,58,19,""
17765,"ленивец","s",0.4,28,82,34,""
17766,"лениво","adv",13.3,94,89,574,""
17767,"ленивый","a",13.5,98,94,753,""
17768,"ленин","a",0.8,36,80,45,""
17769,"ленинградец","s",4.3,83,90,206,""
17770,"ленинградка","s",1.8,46,58,79,""
17771,"ленинградский","a",36.3,99,91,1359,""
17772,"ленинец","s",1.2,49,86,74,""
17773,"лениниана","s",0.4,12,51,13,""
17774,"ленинизм","s",1.2,49,82,68,""
17775,"ленинский","a",22.5,99,92,947,""
17776,"ленинско-сталинский","a",0.4,17,67,22,""
17777,"лениться","v",2.9,93,92,218,""
17778,"ленок","s",1,26,60,30,"*"
17779,"леность","s",1.1,61,89,93,""
17780,"ленский","a",0.4,22,78,26,""
17781,"лента","s",35.9,100,92,1231,""
17782,"ленточка","s",4.9,88,91,316,""
17783,"ленточный","a",1.9,48,80,91,""
17784,"лентяй","s",3.3,84,84,173,""
17785,"ленца","s",0.9,41,85,71,""
17786,"ленч","s",0.6,21,71,23,"*"
17787,"лень","adv",7.8,95,91,466,""
17788,"лень","s",8,96,80,403,""
17789,"леонтьевский","a",2.4,31,56,38,""
17790,"леопард","s",2.1,67,83,107,""
17791,"леопардовый","a",0.4,23,77,28,""
17792,"лепесток","s",9.5,97,91,413,""
17793,"лепет","s",2.1,72,90,165,""
17794,"лепетать","v",3.5,76,90,229,""
17795,"лепеха","s",0.4,18,67,21,""
17796,"лепешка","s",6,87,91,312,""
17797,"лепить","v",8.2,94,93,464,""
17798,"лепиться","v",2,62,88,138,""
17799,"лепка","s",2.3,63,76,106,""
17800,"лепнина","s",1.5,70,91,113,""
17801,"лепной","a",1.5,55,88,107,""
17802,"лепта","s",2.5,81,91,199,""
17803,"лермонтовский","a",2.5,72,80,116,""
17804,"лес","s",211.5,100,94,3264,""
17805,"леса","s",0.5,25,78,29,""
17806,"лесбийский","a",0.5,22,74,28,""
17807,"лесбиянка","s",1.7,52,79,84,""
17808,"лесенка","s",4.7,85,90,268,""
17809,"лесина","s",0.5,21,75,28,"*"
17810,"лесистость","s",0.6,11,63,18,""
17811,"лесистый","a",2.2,75,89,142,""
17812,"леска","s",4,68,86,144,""
17813,"лесник","s",3.6,79,87,162,""
17814,"лесничество","s",4.1,56,71,112,""
17815,"лесничий","s",2.6,52,77,95,""
17816,"лесной","a",92.2,100,84,1614,""
17817,"лесовод","s",1.5,25,71,57,""
17818,"лесоводственный","a",0.7,18,71,41,""
17819,"лесоводство","s",1.2,22,70,38,""
17820,"лесовоз","s",0.8,26,65,29,""
17821,"лесовозный","a",0.5,19,56,21,""
17822,"лесовосстановительный","a",0.7,24,73,37,""
17823,"лесовосстановление","s",1.4,25,73,51,""
17824,"лесозаготовитель","s",0.8,29,64,35,""
17825,"лесозаготовительный","a",1.3,41,76,66,""
17826,"лесозаготовка","s",2,56,76,90,""
17827,"лесок","s",2.8,66,88,162,""
17828,"лесокультурный","a",1.1,17,67,34,""
17829,"лесоматериал","s",1,34,74,44,""
17830,"лесомелиоративный","a",0.4,12,62,18,""
17831,"лесонасаждение","s",0.8,19,68,31,""
17832,"лесообразующий","a",0.6,12,64,28,""
17833,"лесопарк","s",1.3,57,87,81,""
17834,"лесопарковый","a",0.6,25,76,38,""
17835,"лесопилка","s",0.7,33,79,40,""
17836,"лесопильный","a",0.4,22,68,25,""
17837,"лесоповал","s",2.4,61,81,106,""
17838,"лесопожарный","a",0.7,11,65,17,""
17839,"лесополоса","s",0.7,34,82,46,""
17840,"лесопользование","s",3.4,29,68,63,""
17841,"лесопользователь","s",1.6,21,50,27,""
17842,"лесопосадка","s",0.6,24,70,28,""
17843,"лесопромышленник","s",0.5,27,81,32,""
17844,"лесопромышленный","a",2.2,40,82,92,""
17845,"лесопункт","s",0.7,16,55,16,""
17846,"лесоразведение","s",1.1,21,73,39,""
17847,"лесорастительный","a",1.9,17,63,44,""
17848,"лесоруб","s",1.7,65,86,99,""
17849,"лесорубочный","a",0.6,12,49,14,""
17850,"лесосека","s",2.8,52,80,82,""
17851,"лесосеменной","a",0.5,13,66,18,""
17852,"лесосечный","a",0.4,13,69,23,""
17853,"лесостепной","a",0.9,25,75,53,""
17854,"лесостепь","s",0.6,26,77,36,""
17855,"лесотехнический","a",1,38,83,58,""
17856,"лесоуправление","s",0.4,10,62,14,""
17857,"лесоустроительный","a",1.3,16,59,32,""
17858,"лесоустройство","s",2.4,22,67,51,""
17859,"лесохозяйственный","a",3.6,37,77,98,""
17860,"лесочек","s",0.9,42,83,60,""
17861,"леспромхоз","s",1.8,60,84,84,""
17862,"леспромхозовский","a",0.5,14,51,16,""
17863,"лествица","s",0.5,6,23,17,""
17864,"лестница","s",83.1,100,93,1827,""
17865,"лестничный","a",12,96,92,577,""
17866,"лестно","adv",1.8,67,89,135,""
17867,"лестный","a",3.9,87,92,254,""
17868,"лесть","s",3.1,79,89,190,""
17869,"лесхоз","s",9.8,49,73,161,""
17870,"лет","s",9.7,98,95,631,""
17871,"лета","s",3.8,90,92,264,"*"
17872,"летальность","s",0.8,14,67,43,""
17873,"летальный","a",3,77,81,177,""
17874,"летаргический","a",0.7,45,86,61,""
17875,"летательный","a",5.7,79,89,266,""
17876,"летать","v",46.6,99,93,1565,""
17877,"лететь","v",82.9,99,94,2146,""
17878,"летний","a",93.2,100,94,4078,""
17879,"летник","s",0.8,30,77,52,""
17880,"летно-технический","a",0.6,26,67,32,""
17881,"летный","a",10.9,92,89,420,""
17882,"лето","s",135,100,96,4302,""
17883,"леток","s",0.5,15,61,16,""
17884,"летом","adv",1.3,64,90,112,""
17885,"летописец","s",2.9,75,85,136,""
17886,"летописный","a",0.8,29,71,38,""
17887,"летопись","s",7.3,88,85,328,""
17888,"летосчисление","s",0.9,30,55,35,""
17889,"летун","s",0.9,34,80,45,""
17890,"летучий","a",10.4,98,93,488,""
17891,"летучка","s",1.4,44,81,64,""
17892,"летчик","s",38.8,97,88,792,""
17893,"летчик-испытатель","s",0.7,30,78,39,""
17894,"летчица","s",0.4,17,72,21,""
17895,"лефортовский","a",1.3,50,85,75,""
17896,"лечащий","a",1.9,68,86,116,""
17897,"лечебница","s",2.4,74,90,163,""
17898,"лечебно-оздоровительный","a",0.9,19,41,25,""
17899,"лечебно-профилактический","a",1.5,36,75,69,""
17900,"лечебный","a",12.2,97,90,617,""
17901,"лечение","s",46,100,91,1522,""
17902,"лечить","v",30.6,100,94,1227,""
17903,"лечиться","v",12.4,99,92,664,""
17904,"лечь","v",63.5,100,94,2020,""
17905,"леший","s",6,76,78,176,""
17906,"лещ","s",2.2,57,86,94,""
17907,"лещина","s",0.7,30,79,39,""
17908,"лженаука","s",0.8,31,68,38,""
17909,"лжепророк","s",0.5,24,72,31,""
17910,"лжец","s",1.9,64,86,109,""
17911,"лживо","adv",0.4,26,80,34,""
17912,"лживость","s",0.8,46,88,62,""
17913,"лживый","a",5.7,91,92,325,""
17914,"ли","conj",106.9,100,97,4015,""
17915,"ли","part",981.7,100,97,14161,""
17916,"лиана","s",3.5,75,85,152,"*"
17917,"либерал","s",9.5,86,89,460,""
17918,"либерализация","s",5.7,62,86,298,""
17919,"либерализм","s",7.4,81,86,332,""
17920,"либерализовать","v",0.4,19,76,36,""
17921,"либерально","adv",0.6,38,85,51,""
17922,"либерально-демократический","a",0.9,39,82,65,""
17923,"либеральный","a",25.5,95,89,1018,""
17924,"либидо","s",1.1,37,62,50,""
17925,"либо","conj",195.7,100,86,4529,""
17926,"либретто","s",3,61,82,129,""
17927,"ливанский","a",1.5,43,77,70,""
17928,"ливень","s",7.1,93,92,376,""
17929,"ливер","s",0.5,23,73,29,""
17930,"ливерный","a",0.5,31,83,38,""
17931,"ливийский","a",0.9,26,65,35,""
17932,"ливневый","a",0.8,38,83,54,""
17933,"ливонский","a",0.4,15,54,19,""
17934,"ливрея","s",0.9,47,86,66,""
17935,"лига","s",13,74,82,460,""
17936,"лиганд","s",0.9,9,42,20,""
17937,"лигатура","s",0.5,13,54,15,""
17938,"лидер","s",92.2,100,90,3885,""
17939,"лидерский","a",0.6,30,81,47,""
17940,"лидерство","s",5.6,72,89,382,""
17941,"лидин","a",0.4,11,45,11,""
17942,"лидировать","v",7.6,75,90,583,""
17943,"лизат","s",1.4,9,50,33,""
17944,"лизать","v",4.5,81,90,269,""
17945,"лизинг","s",7.5,53,75,183,""
17946,"лизинговый","a",6.5,49,63,116,""
17947,"лизингодатель","s",1,11,27,11,""
17948,"лизингополучатель","s",0.9,8,41,8,""
17949,"лизировать","v",0.5,6,50,32,""
17950,"лизнуть","v",3.2,64,86,189,""
17951,"лик","s",12.7,98,87,583,""
17952,"ликбез","s",1.6,59,86,115,""
17953,"ликвидатор","s",0.9,42,84,57,""
17954,"ликвидационный","a",1.4,28,53,44,""
17955,"ликвидация","s",27.6,93,86,1332,""
17956,"ликвидировать","v",17.4,99,93,1079,""
17957,"ликвидироваться","v",1,52,87,83,""
17958,"ликвидность","s",3.1,50,80,132,""
17959,"ликвидный","a",1.6,45,84,118,""
17960,"ликер","s",3.3,79,90,170,""
17961,"ликероводочный","a",0.6,31,76,41,""
17962,"ликеро-водочный","a",0.6,30,72,35,""
17963,"ликование","s",5.6,91,88,356,""
17964,"ликовать","v",8.5,94,89,502,""
17965,"ликующе","adv",0.7,34,80,57,""
17966,"ликующий","a",4,81,84,260,""
17967,"лилейник","s",0.8,17,37,23,""
17968,"лилипут","s",2.7,58,79,95,""
17969,"лилия","s",9.2,88,82,276,"*"
17970,"лиловатый","a",0.5,29,83,36,""
17971,"лиловый","a",9.4,89,88,389,""
17972,"лиман","s",0.9,30,71,35,""
17973,"лиманский","a",1.9,22,56,36,""
17974,"лимит","s",6.4,91,89,353,""
17975,"лимитировать","v",1.4,54,86,102,""
17976,"лимитчик","s",0.4,18,72,24,""
17977,"лимон","s",11.7,97,92,474,""
17978,"лимонад","s",3.1,73,87,162,""
17979,"лимонка","s",0.8,39,81,46,""
17980,"лимонный","a",5.6,90,84,280,""
17981,"лимончик","s",0.6,23,71,34,""
17982,"лимузин","s",5.5,77,89,251,""
17983,"лимфа","s",1.4,28,34,30,""
17984,"лимфатический","a",4.1,41,33,68,""
17985,"лимфодренаж","s",0.5,12,51,15,""
17986,"лимфоидный","a",1,13,44,26,""
17987,"лимфоцит","s",4.3,18,61,86,""
17988,"лингвист","s",3.6,80,79,184,""
17989,"лингвистика","s",3.8,64,64,141,""
17990,"лингвистический","a",6.3,81,77,247,""
17991,"линейка","s",8.6,95,93,459,""
17992,"линейно","adv",0.6,20,71,43,""
17993,"линейность","s",0.5,25,76,32,""
17994,"линейный","a",15.5,85,81,619,""
17995,"линза","s",6,96,88,253,""
17996,"линия","s",143.7,100,94,4534,""
17997,"линкор","s",1.1,43,82,58,""
17998,"линолеум","s",3,72,81,157,""
17999,"линь","s",1.5,34,71,48,"*"
18000,"линька","s",0.9,20,42,23,""
18001,"линялый","a",1.5,53,86,99,""
18002,"линять","v",1.2,59,88,87,""
18003,"лионский","a",0.9,35,71,58,""
18004,"липа","s",11.8,96,87,432,"*"
18005,"липецкий","a",1.8,48,84,114,""
18006,"липид","s",2.1,22,68,57,""
18007,"липидный","a",0.9,19,60,38,""
18008,"липка","s",0.9,40,82,62,""
18009,"липкий","a",9.4,95,90,469,""
18010,"липнуть","v",2.6,75,90,183,""
18011,"липовый","a",4.9,93,92,296,""
18012,"липосакция","s",0.6,11,53,13,""
18013,"липосома","s",1.9,6,46,7,""
18014,"липучий","a",0.5,24,73,29,""
18015,"липучка","s",0.6,37,82,42,""
18016,"лира","s",8,90,78,276,""
18017,"лиризм","s",0.8,41,83,62,""
18018,"лирик","s",2.1,66,87,130,""
18019,"лирика","s",8.2,95,91,388,""
18020,"лирически","adv",0.4,28,82,32,""
18021,"лирический","a",13.4,96,91,591,""
18022,"лиричный","a",1,40,81,66,""
18023,"лис","s",2.6,65,68,110,""
18024,"лиса","s",8.7,93,86,329,""
18025,"лисенок","s",1.6,20,41,26,""
18026,"лисий","a",2.9,69,89,156,""
18027,"лисица","s",2.8,75,88,145,""
18028,"лисичка","s",1.9,45,69,68,""
18029,"лист","s",127.6,100,92,2933,"*"
18030,"листать","v",9.4,92,92,534,""
18031,"листва","s",14.1,97,93,645,""
18032,"лиственница","s",4.1,67,82,138,""
18033,"лиственничник","s",0.5,8,47,13,""
18034,"лиственничный","a",0.8,30,76,46,""
18035,"лиственный","a",3.1,73,81,162,""
18036,"листик","s",4.6,82,75,203,""
18037,"листинг","s",0.5,16,57,20,""
18038,"листовка","s",8.7,93,91,367,""
18039,"листовой","a",3.6,74,76,183,""
18040,"листок","s",29,99,92,913,""
18041,"листопад","s",1,43,73,55,""
18042,"листочек","s",10.4,99,93,514,""
18043,"литавры","s",0.9,41,85,63,""
18044,"литвин","s",0.6,23,63,24,"*"
18045,"литейный","a",4.5,79,86,185,""
18046,"литер","s",1.7,44,47,56,""
18047,"литера","s",2.7,43,32,60,""
18048,"литератор","s",19.1,93,92,678,""
18049,"литература","s",156,100,94,3722,""
18050,"литературно","adv",1.1,59,90,87,""
18051,"литературно-критический","a",0.4,17,61,20,""
18052,"литературность","s",0.4,25,80,29,""
18053,"литературно-художественный","a",1.1,42,84,72,""
18054,"литературный","a",85.7,99,93,1825,""
18055,"литературовед","s",4.5,83,89,238,""
18056,"литературоведение","s",2.3,61,81,114,""
18057,"литературоведческий","a",1.7,55,85,105,""
18058,"литерный","a",0.5,22,64,24,""
18059,"литиевый","a",0.4,13,64,17,""
18060,"литий","s",1.1,24,64,43,""
18061,"литинститут","s",2.4,44,79,76,""
18062,"лития","s",0.4,20,76,25,""
18063,"литобъединение","s",0.7,20,60,22,""
18064,"литовец","s",2.5,66,88,139,""
18065,"литовка","s",0.6,22,69,24,"*"
18066,"литовский","a",5.8,78,89,269,""
18067,"литография","s",0.9,46,82,55,""
18068,"литой","a",4.1,82,88,234,""
18069,"литологический","a",0.4,9,64,22,""
18070,"литосфера","s",1.7,17,66,45,""
18071,"литр","s",16.7,98,92,840,""
18072,"литровый","a",5.8,85,84,282,""
18073,"литсотрудник","s",0.4,18,67,19,""
18074,"литургический","a",2.1,35,55,77,""
18075,"литургия","s",10.4,73,69,281,""
18076,"литфонд","s",1.7,41,79,61,""
18077,"литфондовский","a",0.4,25,80,30,""
18078,"лить","v",10.4,97,93,568,""
18079,"литье","s",3,60,81,136,""
18080,"литься","v",12.6,97,94,723,""
18081,"лиф","s",0.5,26,80,33,""
18082,"лифт","s",32.4,98,92,875,""
18083,"лифтер","s",1,40,80,51,""
18084,"лифтерша","s",0.8,33,77,40,""
18085,"лифтинг","s",0.6,20,70,23,""
18086,"лифтовой","a",1.8,37,62,53,""
18087,"лифчик","s",5,75,88,223,""
18088,"лихач","s",0.9,39,83,58,""
18089,"лихва","s",2.7,85,92,218,""
18090,"лихо","adv",10.3,91,93,565,""
18091,"лихо","s",1.9,66,82,117,""
18092,"лихой","a",10.3,95,94,560,""
18093,"лихолетье","s",0.7,44,85,60,""
18094,"лихорадить","v",1.6,70,90,124,""
18095,"лихорадка","s",11.2,97,83,427,""
18096,"лихорадочно","adv",8.7,87,91,432,""
18097,"лихорадочный","a",4,93,91,261,""
18098,"лихость","s",1.3,54,87,96,""
18099,"лицевой","a",6.2,92,87,320,""
18100,"лицедей","s",1.6,53,79,88,""
18101,"лицедейство","s",0.9,47,87,65,""
18102,"лицезрение","s",0.6,30,78,36,""
18103,"лицезреть","v",1.8,71,90,137,""
18104,"лицеист","s",0.8,26,61,32,""
18105,"лицей","s",5,82,88,223,""
18106,"лицейский","a",1,37,74,44,""
18107,"лицемер","s",1.1,51,84,71,""
18108,"лицемерие","s",3.9,87,92,247,""
18109,"лицемерить","v",1.2,54,87,88,""
18110,"лицемерно","adv",0.8,39,83,59,""
18111,"лицемерный","a",1.5,66,89,109,""
18112,"лицензиар","s",0.6,5,16,7,""
18113,"лицензиат","s",1.1,17,32,21,""
18114,"лицензионный","a",4.3,58,83,207,""
18115,"лицензирование","s",6.7,58,84,276,""
18116,"лицензированный","a",0.4,29,82,36,""
18117,"лицензировать","v",1.2,36,69,63,""
18118,"лицензия","s",30.1,88,80,1066,""
18119,"лицо","s",878,100,91,10267,""
18120,"личико","s",7.9,76,89,365,""
18121,"личина","s",2.3,72,84,137,""
18122,"личинка","s",6.7,74,54,144,""
18123,"лично","adv",87.8,100,96,3256,""
18124,"личной","a",25.6,99,94,1291,""
18125,"личностно","adv",0.4,21,74,31,""
18126,"личностный","a",12.1,81,76,385,""
18127,"личность","s",115.6,100,92,3091,""
18128,"личный","a",149.2,100,94,4805,""
18129,"лишай","s",0.9,39,84,60,""
18130,"лишайник","s",1.7,39,63,70,""
18131,"лишать","v",14.8,100,96,939,""
18132,"лишаться","v",5.4,96,93,411,""
18133,"лишек","s",1.6,57,88,116,""
18134,"лишенец","s",0.6,35,79,45,""
18135,"лишение","s",27.4,97,63,932,""
18136,"лишенный","a",13.8,98,96,826,""
18137,"лишить","v",50.9,100,97,2317,""
18138,"лишиться","v",18.7,100,95,1208,""
18139,"лишнее","s",4.4,97,94,336,""
18140,"лишний","a",83.5,100,97,3311,""
18141,"лишь","conj",2.6,83,91,193,""
18142,"лишь","part",552.5,100,97,12312,""
18143,"лоб","s",78.7,99,91,1697,""
18144,"лобастый","a",1.5,50,84,91,""
18145,"лобби","s",1.9,54,87,134,""
18146,"лоббизм","s",1.4,32,69,67,""
18147,"лоббирование","s",2.3,48,87,178,""
18148,"лоббировать","v",2.7,53,84,200,""
18149,"лоббист","s",2.2,49,85,153,""
18150,"лоббистский","a",1.6,43,83,117,""
18151,"лобзик","s",0.6,30,78,35,""
18152,"лобик","s",1.1,39,83,69,""
18153,"лобио","s",0.8,27,70,31,""
18154,"лобковый","a",0.8,20,42,23,""
18155,"лобный","a",3.4,64,63,104,""
18156,"лобовой","a",5.5,94,92,347,""
18157,"лобок","s",1.6,36,72,54,""
18158,"лоботряс","s",1,36,76,54,""
18159,"лобстер","s",0.7,24,62,28,""
18160,"лов","s",2.6,74,89,139,""
18161,"ловелас","s",0.9,43,85,62,""
18162,"ловец","s",2.4,70,86,132,""
18163,"ловить","v",48,99,94,1711,""
18164,"ловиться","v",1.8,76,90,127,""
18165,"ловкач","s",1.1,54,87,86,""
18166,"ловкий","a",10.3,94,93,577,""
18167,"ловко","adv",24.7,98,91,963,""
18168,"ловкость","s",4.7,94,93,313,""
18169,"ловля","s",5.4,92,92,318,""
18170,"ловушка","s",12.9,97,92,558,""
18171,"ловчий","a",0.9,43,85,68,""
18172,"ловчить","v",0.9,42,71,55,""
18173,"лог","s",2.1,58,85,77,""
18174,"логарифм","s",0.7,27,79,44,""
18175,"логарифмический","a",0.8,49,86,61,""
18176,"логик","s",1,39,76,56,""
18177,"логика","s",50.6,100,92,1921,""
18178,"логист","s",0.4,9,35,10,""
18179,"логистика","s",12,54,75,209,""
18180,"логистический","a",10.6,46,75,160,""
18181,"логически","adv",4.3,88,89,274,""
18182,"логический","a",22.4,100,84,925,""
18183,"логично","adv",5.2,94,93,381,""
18184,"логичность","s",0.6,39,84,49,""
18185,"логичный","a",11.5,99,94,805,""
18186,"логово","s",2.8,78,90,178,""
18187,"логопед","s",0.7,35,81,44,""
18188,"логос","s",2.1,47,80,84,""
18189,"логотип","s",3.6,59,83,205,""
18190,"лоджия","s",3.6,67,81,138,""
18191,"лодка","s",62.9,99,90,1199,""
18192,"лодочка","s",2.6,66,87,157,""
18193,"лодочник","s",2.4,36,42,46,""
18194,"лодочный","a",1.7,53,84,85,""
18195,"лодчонка","s",0.5,26,78,30,""
18196,"лодыжка","s",2.1,66,86,126,""
18197,"лодырь","s",1.7,57,87,102,""
18198,"ложа","s",14.1,92,81,375,""
18199,"ложбина","s",1.1,52,85,74,""
18200,"ложбинка","s",1.3,41,84,89,""
18201,"ложе","s",6.8,98,93,388,""
18202,"ложемент","s",1,8,25,8,""
18203,"ложечка","s",8,84,90,379,""
18204,"ложить","v",0.6,32,80,44,""
18205,"ложиться","v",39.5,100,95,1573,""
18206,"ложка","s",40.5,99,91,1152,""
18207,"ложно","adv",0.8,49,87,68,""
18208,"ложность","s",0.9,33,80,58,""
18209,"ложный","a",23.3,99,94,1088,""
18210,"ложь","s",30.7,100,95,1127,""
18211,"лоза","s",3.3,81,90,190,""
18212,"лозунг","s",25.2,100,93,1320,""
18213,"локализация","s",3.9,53,78,220,""
18214,"локализовать","v",2.9,51,79,182,""
18215,"локализоваться","v",0.7,22,71,45,""
18216,"локально","adv",0.5,24,77,40,""
18217,"локальный","a",18.7,85,84,917,""
18218,"локатор","s",4.2,63,54,98,""
18219,"локаут","s",0.4,11,47,12,""
18220,"локация","s",0.7,22,71,30,""
18221,"локомотив","s",13.9,88,85,439,""
18222,"локомотивный","a",2.7,27,55,49,""
18223,"локон","s",3.1,70,89,179,""
18224,"локоток","s",1.9,55,87,126,""
18225,"локоть","s",40.2,99,91,1141,""
18226,"локтевой","a",2.4,53,56,90,""
18227,"локус","s",0.8,15,68,26,""
18228,"лом","s",8.8,95,88,366,""
18229,"ломануться","v",0.6,30,80,44,""
18230,"ломаный","a",4.3,90,92,296,""
18231,"ломать","v",28.2,100,95,1312,""
18232,"ломаться","v",8.8,97,94,556,""
18233,"ломбард","s",1.9,56,77,77,""
18234,"ломберный","a",0.8,35,82,48,""
18235,"ломик","s",0.9,31,78,49,""
18236,"ломить","v",3.1,74,89,199,""
18237,"ломиться","v",5.3,95,93,371,""
18238,"ломка","s",3.1,81,91,227,""
18239,"ломкий","a",2.9,83,91,206,""
18240,"ломкость","s",0.4,21,74,27,""
18241,"ломовой","a",1.1,47,85,76,""
18242,"ломоносовский","a",1.2,52,84,69,""
18243,"ломота","s",1,52,87,78,""
18244,"ломоть","s",4.1,81,90,239,""
18245,"ломтик","s",4.9,82,85,248,""
18246,"лондонец","s",0.5,26,66,30,""
18247,"лондонский","a",12.5,95,89,626,""
18248,"лонжерон","s",0.4,17,70,23,""
18249,"лоно","s",5.5,97,91,335,""
18250,"лопасть","s",11.5,74,24,138,""
18251,"лопата","s",19.5,99,92,710,""
18252,"лопатить","v",0.5,29,79,41,""
18253,"лопатка","s",12.8,99,90,550,""
18254,"лопаточка","s",1.1,51,86,74,""
18255,"лопать","v",1.1,46,85,84,""
18256,"лопаться","v",5.2,94,92,356,""
18257,"лопнуть","v",15.2,98,93,757,""
18258,"лопотать","v",1.5,54,87,114,""
18259,"лопоухий","a",1.2,49,86,82,""
18260,"лопух","s",5.5,80,87,274,""
